,ds,Positive,Negative,Neutral
264,2013-06-10,,,
265,2013-06-11,,,
266,2013-06-12,,,
267,2013-06-13,,,
268,2013-06-14,,,
269,2013-06-17,,,
270,2013-06-18,,,
271,2013-06-19,,,
272,2013-06-20,,,
273,2013-06-21,,,
274,2013-06-24,,,
275,2013-06-25,,,
276,2013-06-26,,,
277,2013-06-27,,,
278,2013-06-28,,,
279,2013-07-01,,,
280,2013-07-02,,,
281,2013-07-03,,,
282,2013-07-05,,,
283,2013-07-08,,,
284,2013-07-09,,,
285,2013-07-10,,,
286,2013-07-11,,,
287,2013-07-12,,,
288,2013-07-15,,,
289,2013-07-16,,,
290,2013-07-17,,,
291,2013-07-18,,,
292,2013-07-19,,,
293,2013-07-22,,,
294,2013-07-23,,,
295,2013-07-24,,,
296,2013-07-25,,,
297,2013-07-26,,,
298,2013-07-29,,,
299,2013-07-30,,,
300,2013-07-31,,,
301,2013-08-01,,,
302,2013-08-02,,,
303,2013-08-05,,,
304,2013-08-06,,,
305,2013-08-07,,,
306,2013-08-08,,,
307,2013-08-09,,,
308,2013-08-12,,,
309,2013-08-13,,,
310,2013-08-14,,,
311,2013-08-15,,,
312,2013-08-16,,,
313,2013-08-19,,,
314,2013-08-20,,,
315,2013-08-21,,,
316,2013-08-22,,,
317,2013-08-23,,,
318,2013-08-26,,,
319,2013-08-27,,,
320,2013-08-28,,,
321,2013-08-29,,,
322,2013-08-30,,,
323,2013-09-03,,,
324,2013-09-04,,,
325,2013-09-05,,,
326,2013-09-06,,,
327,2013-09-09,,,
328,2013-09-10,,,
329,2013-09-11,,,
330,2013-09-12,,,
331,2013-09-13,,,
332,2013-09-16,,,
333,2013-09-17,,,
334,2013-09-18,,,
335,2013-09-19,,,
336,2013-09-20,,,
337,2013-09-23,,,
338,2013-09-24,,,
339,2013-09-25,,,
340,2013-09-26,,,
341,2013-09-27,,,
342,2013-09-30,,,
343,2013-10-01,,,
344,2013-10-02,,,
345,2013-10-03,,,
346,2013-10-04,,,
347,2013-10-07,,,
348,2013-10-08,,,
349,2013-10-09,,,
350,2013-10-10,,,
351,2013-10-11,,,
352,2013-10-14,,,
353,2013-10-15,,,
354,2013-10-16,,,
355,2013-10-17,,,
356,2013-10-18,,,
357,2013-10-21,,,
358,2013-10-22,,,
359,2013-10-23,,,
360,2013-10-24,,,
361,2013-10-25,,,
362,2013-10-28,,,
363,2013-10-29,,,
364,2013-10-30,,,
365,2013-10-31,,,
366,2013-11-01,,,
367,2013-11-04,,,
368,2013-11-05,,,
369,2013-11-06,,,
370,2013-11-07,,,
371,2013-11-08,,,
372,2013-11-11,,,
373,2013-11-12,,,
374,2013-11-13,,,
375,2013-11-14,,,
376,2013-11-15,,,
377,2013-11-18,,,
378,2013-11-19,,,
379,2013-11-20,,,
380,2013-11-21,,,
381,2013-11-22,,,
382,2013-11-25,,,
383,2013-11-26,,,
384,2013-11-27,,,
385,2013-11-29,,,
386,2013-12-02,,,
387,2013-12-03,,,
388,2013-12-04,,,
389,2013-12-05,,,
390,2013-12-06,,,
391,2013-12-09,,,
392,2013-12-10,,,
393,2013-12-11,,,
394,2013-12-12,,,
395,2013-12-13,,,
396,2013-12-16,,,
397,2013-12-17,,,
398,2013-12-18,,,
399,2013-12-19,,,
400,2013-12-20,,,
401,2013-12-23,,,
402,2013-12-24,,,
403,2013-12-26,,,
404,2013-12-27,,,
405,2013-12-30,,,
406,2013-12-31,,,
407,2014-01-02,,,
408,2014-01-03,,,
409,2014-01-06,,,
410,2014-01-07,,,
411,2014-01-08,,,
412,2014-01-09,,,
413,2014-01-10,,,
414,2014-01-13,,,
415,2014-01-14,,,
416,2014-01-15,,,
417,2014-01-16,,,
418,2014-01-17,,,
419,2014-01-21,,,
420,2014-01-22,,,
421,2014-01-23,,,
422,2014-01-24,,,
423,2014-01-27,,,
424,2014-01-28,,,
425,2014-01-29,,,
426,2014-01-30,,,
427,2014-01-31,,,
428,2014-02-03,,,
429,2014-02-04,,,
430,2014-02-05,,,
431,2014-02-06,,,
432,2014-02-07,,,
433,2014-02-10,,,
434,2014-02-11,,,
435,2014-02-12,,,
436,2014-02-13,,,
437,2014-02-14,,,
438,2014-02-18,,,
439,2014-02-19,,,
440,2014-02-20,,,
441,2014-02-21,,,
442,2014-02-24,,,
443,2014-02-25,,,
444,2014-02-26,,,
445,2014-02-27,,,
446,2014-02-28,,,
447,2014-03-03,,,
448,2014-03-04,,,
449,2014-03-05,,,
450,2014-03-06,,,
451,2014-03-07,,,
452,2014-03-10,,,
453,2014-03-11,,,
454,2014-03-12,,,
455,2014-03-13,,,
456,2014-03-14,,,
457,2014-03-17,,,
458,2014-03-18,,,
459,2014-03-19,,,
460,2014-03-20,,,
461,2014-03-21,,,
462,2014-03-24,,,
463,2014-03-25,,,
464,2014-03-26,,,
465,2014-03-27,,,
466,2014-03-28,,,
467,2014-03-31,,,
468,2014-04-01,,,
469,2014-04-02,,,
470,2014-04-03,,,
471,2014-04-04,,,
472,2014-04-07,,,
473,2014-04-08,,,
474,2014-04-09,,,
475,2014-04-10,,,
476,2014-04-11,,,
477,2014-04-14,,,
478,2014-04-15,,,
479,2014-04-16,,,
480,2014-04-17,,,
481,2014-04-21,,,
482,2014-04-22,,,
483,2014-04-23,,,
484,2014-04-24,,,
485,2014-04-25,,,
486,2014-04-28,,,
487,2014-04-29,,,
488,2014-04-30,,,
489,2014-05-01,,,
490,2014-05-02,,,
491,2014-05-05,,,
492,2014-05-06,,,
493,2014-05-07,,,
494,2014-05-08,,,
495,2014-05-09,,,
496,2014-05-12,,,
497,2014-05-13,,,
498,2014-05-14,,,
499,2014-05-15,,,
500,2014-05-16,,,
501,2014-05-19,,,
502,2014-05-20,,,
503,2014-05-21,,,
504,2014-05-22,,,
505,2014-05-23,,,
506,2014-05-27,,,
507,2014-05-28,,,
508,2014-05-29,,,
509,2014-05-30,,,
510,2014-06-02,,,
511,2014-06-03,,,
512,2014-06-04,,,
513,2014-06-05,,,
514,2014-06-06,,,
515,2014-06-09,,,
516,2014-06-10,,,
517,2014-06-11,,,
518,2014-06-12,,,
519,2014-06-13,,,
520,2014-06-16,,,
521,2014-06-17,,,
522,2014-06-18,,,
523,2014-06-19,,,
524,2014-06-20,,,
525,2014-06-23,,,
526,2014-06-24,,,
527,2014-06-25,,,
528,2014-06-26,,,
529,2014-06-27,,,
530,2014-06-30,,,
531,2014-07-01,,,
532,2014-07-02,,,
533,2014-07-03,,,
534,2014-07-07,,,
535,2014-07-08,,,
536,2014-07-09,,,
537,2014-07-10,,,
538,2014-07-11,,,
539,2014-07-14,,,
540,2014-07-15,,,
541,2014-07-16,,,
542,2014-07-17,,,
543,2014-07-18,,,
544,2014-07-21,,,
545,2014-07-22,,,
546,2014-07-23,,,
547,2014-07-24,,,
548,2014-07-25,,,
549,2014-07-28,,,
550,2014-07-29,,,
551,2014-07-30,,,
552,2014-07-31,,,
553,2014-08-01,,,
554,2014-08-04,,,
555,2014-08-05,,,
556,2014-08-06,,,
557,2014-08-07,,,
558,2014-08-08,,,
559,2014-08-11,,,
560,2014-08-12,,,
561,2014-08-13,,,
562,2014-08-14,,,
563,2014-08-15,,,
564,2014-08-18,,,
565,2014-08-19,,,
566,2014-08-20,,,
567,2014-08-21,,,
568,2014-08-22,,,
569,2014-08-25,,,
570,2014-08-26,,,
571,2014-08-27,,,
572,2014-08-28,,,
573,2014-08-29,,,
574,2014-09-02,,,
575,2014-09-03,,,
576,2014-09-04,,,
577,2014-09-05,,,
578,2014-09-08,,,
579,2014-09-09,,,
580,2014-09-10,,,
581,2014-09-11,,,
582,2014-09-12,,,
583,2014-09-15,,,
584,2014-09-16,,,
585,2014-09-17,,,
586,2014-09-18,,,
587,2014-09-19,,,
588,2014-09-22,,,
589,2014-09-23,,,
590,2014-09-24,,,
591,2014-09-25,,,
592,2014-09-26,,,
593,2014-09-29,,,
594,2014-09-30,,,
595,2014-10-01,,,
596,2014-10-02,,,
597,2014-10-03,,,
598,2014-10-06,,,
599,2014-10-07,,,
600,2014-10-08,,,
601,2014-10-09,,,
602,2014-10-10,,,
603,2014-10-13,,,
604,2014-10-14,,,
605,2014-10-15,,,
606,2014-10-16,,,
607,2014-10-17,,,
608,2014-10-20,,,
609,2014-10-21,,,
610,2014-10-22,,,
611,2014-10-23,,,
612,2014-10-24,,,
613,2014-10-27,,,
614,2014-10-28,,,
615,2014-10-29,,,
616,2014-10-30,,,
617,2014-10-31,,,
618,2014-11-03,,,
619,2014-11-04,,,
620,2014-11-05,,,
621,2014-11-06,,,
622,2014-11-07,,,
623,2014-11-10,,,
624,2014-11-11,,,
625,2014-11-12,,,
626,2014-11-13,,,
627,2014-11-14,,,
628,2014-11-17,,,
629,2014-11-18,,,
630,2014-11-19,,,
631,2014-11-20,,,
632,2014-11-21,,,
633,2014-11-24,,,
634,2014-11-25,,,
635,2014-11-26,,,
636,2014-11-28,,,
637,2014-12-01,,,
638,2014-12-02,,,
639,2014-12-03,,,
640,2014-12-04,,,
641,2014-12-05,,,
642,2014-12-08,,,
643,2014-12-09,,,
644,2014-12-10,,,
645,2014-12-11,,,
646,2014-12-12,,,
647,2014-12-15,,,
648,2014-12-16,,,
649,2014-12-17,,,
650,2014-12-18,,,
651,2014-12-19,,,
652,2014-12-22,,,
653,2014-12-23,,,
654,2014-12-24,,,
655,2014-12-26,,,
656,2014-12-29,,,
657,2014-12-30,,,
658,2014-12-31,,,
659,2015-01-02,,,
660,2015-01-05,,,
661,2015-01-06,,,
662,2015-01-07,,,
663,2015-01-08,,,
664,2015-01-09,,,
665,2015-01-12,,,
666,2015-01-13,,,
667,2015-01-14,,,
668,2015-01-15,,,
669,2015-01-16,,,
670,2015-01-20,,,
671,2015-01-21,,,
672,2015-01-22,,,
673,2015-01-23,,,
674,2015-01-26,,,
675,2015-01-27,,,
676,2015-01-28,,,
677,2015-01-29,,,
678,2015-01-30,,,
679,2015-02-02,,,
680,2015-02-03,,,
681,2015-02-04,,,
682,2015-02-05,,,
683,2015-02-06,,,
684,2015-02-09,,,
685,2015-02-10,,,
686,2015-02-11,,,
687,2015-02-12,,,
688,2015-02-13,,,
689,2015-02-17,,,
690,2015-02-18,,,
691,2015-02-19,,,
692,2015-02-20,,,
693,2015-02-23,,,
694,2015-02-24,,,
695,2015-02-25,,,
696,2015-02-26,,,
697,2015-02-27,,,
698,2015-03-02,,,
699,2015-03-03,,,
700,2015-03-04,,,
701,2015-03-05,,,
702,2015-03-06,,,
703,2015-03-09,,,
704,2015-03-10,,,
705,2015-03-11,,,
706,2015-03-12,,,
707,2015-03-13,,,
708,2015-03-16,,,
709,2015-03-17,,,
710,2015-03-18,,,
711,2015-03-19,,,
712,2015-03-20,,,
713,2015-03-23,,,
714,2015-03-24,,,
